epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.857,2.84796,3.99048,2.96923,0.2882,0.06625,0.03662,0.01111,2.57268,3.76601,2.74508,0.000332808,0.000332808,0.0670521
2,1032.19,2.19359,3.37532,2.34619,0.22684,0.16915,0.09854,0.04127,2.274,4.33379,2.37785,0.000633167,0.000633167,0.0340191
3,1549.47,2.00716,3.06264,2.14252,0.26155,0.22535,0.15791,0.06214,2.21387,3.22525,2.29447,0.000900526,0.000900526,0.000953103
4,2063.13,1.8926,2.85551,2.0165,0.20957,0.33349,0.21697,0.10295,2.00308,2.77397,2.07067,0.0008515,0.0008515,0.0008515
5,2572.44,1.83147,2.7144,1.93872,0.35137,0.30369,0.2573,0.09596,2.13248,2.70858,2.14249,0.000802,0.000802,0.000802
6,3087.56,1.76829,2.57202,1.88539,0.31347,0.3674,0.2933,0.12887,2.09203,2.45674,2.06686,0.0007525,0.0007525,0.0007525
7,3595.92,1.71818,2.46603,1.83971,0.35874,0.39079,0.33099,0.1502,1.94182,2.38062,1.96842,0.000703,0.000703,0.000703
8,4109.25,1.70425,2.41066,1.82311,0.35272,0.35757,0.30491,0.1394,1.88226,2.39713,1.92867,0.0006535,0.0006535,0.0006535
9,4621.44,1.65922,2.32689,1.78742,0.4689,0.43179,0.41005,0.20619,1.78693,2.08998,1.84064,0.000604,0.000604,0.000604
10,5132.86,1.64034,2.25779,1.76129,0.44887,0.46733,0.44092,0.22831,1.76513,2.01808,1.80783,0.0005545,0.0005545,0.0005545
11,5627.36,1.69029,2.03595,1.87863,0.48687,0.49091,0.44552,0.22701,1.75414,1.95049,1.79879,0.000505,0.000505,0.000505
12,6124.49,1.64343,1.93826,1.83616,0.53014,0.46465,0.45443,0.24372,1.68332,1.91488,1.74809,0.0004555,0.0004555,0.0004555
13,6620.29,1.61208,1.86964,1.81344,0.49975,0.49856,0.47354,0.26126,1.6591,1.86602,1.71258,0.000406,0.000406,0.000406
14,15809.6,1.57837,1.77974,1.77249,0.5447,0.50491,0.49074,0.27025,1.62109,1.77664,1.68926,0.0003565,0.0003565,0.0003565
15,16303.5,1.54527,1.73903,1.75393,0.54635,0.54526,0.51034,0.28159,1.58814,1.73137,1.66466,0.000307,0.000307,0.000307
16,16798.4,1.5228,1.68465,1.73495,0.58839,0.54818,0.52198,0.29811,1.57172,1.6992,1.64724,0.0002575,0.0002575,0.0002575
17,17293.5,1.4925,1.64762,1.71308,0.60825,0.52264,0.53432,0.30979,1.54266,1.6782,1.6277,0.000208,0.000208,0.000208
18,17792.8,1.46665,1.5923,1.68923,0.57348,0.55879,0.5405,0.31454,1.53505,1.63697,1.61264,0.0001585,0.0001585,0.0001585
19,18291.5,1.44707,1.56206,1.6746,0.60664,0.56742,0.55409,0.32285,1.52509,1.62262,1.60351,0.000109,0.000109,0.000109
20,18788.2,1.42057,1.53094,1.65355,0.6054,0.5568,0.56216,0.32773,1.51406,1.59807,1.59812,5.95e-05,5.95e-05,5.95e-05
