epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,540.965,2.84796,3.99048,2.96923,0.2882,0.06625,0.03662,0.01111,2.57268,3.76601,2.74508,0.000332808,0.000332808,0.0670521
2,1063.86,2.19425,3.37244,2.34607,0.24494,0.18788,0.11197,0.04592,2.3658,3.56077,2.48104,0.000652951,0.000652951,0.0340389
3,1570.83,2.01898,3.06303,2.14331,0.19908,0.25483,0.18633,0.08277,2.1526,3.07837,2.30955,0.000959895,0.000959895,0.00101247
4,2081.01,1.9,2.87306,2.02123,0.22953,0.30331,0.20419,0.08927,1.99704,2.73409,2.09884,0.0009406,0.0009406,0.0009406
5,2587.73,1.83877,2.72952,1.93687,0.3056,0.32314,0.23129,0.09387,2.13934,2.76248,2.13239,0.0009208,0.0009208,0.0009208
6,3096.24,1.78502,2.59883,1.89165,0.3026,0.3851,0.29615,0.12405,2.06054,2.51356,2.05419,0.000901,0.000901,0.000901
7,3606.91,1.73002,2.49557,1.84712,0.26146,0.36066,0.27795,0.1254,1.96348,2.50147,2.02404,0.0008812,0.0008812,0.0008812
8,4115.69,1.71042,2.44327,1.82627,0.35425,0.37954,0.34911,0.16542,1.85532,2.35325,1.90846,0.0008614,0.0008614,0.0008614
9,4627.38,1.6727,2.3668,1.79445,0.46353,0.42281,0.39059,0.19546,1.79158,2.1704,1.84491,0.0008416,0.0008416,0.0008416
10,5137.94,1.65617,2.29197,1.76913,0.4455,0.4414,0.43088,0.21506,1.78731,2.0747,1.82553,0.0008218,0.0008218,0.0008218
11,5650.07,1.63371,2.25079,1.74686,0.4707,0.42165,0.40631,0.205,1.77467,2.09724,1.82164,0.000802,0.000802,0.000802
12,6161.96,1.61542,2.18658,1.73594,0.46803,0.45225,0.41587,0.21545,1.72003,2.06324,1.75237,0.0007822,0.0007822,0.0007822
13,6673,1.58482,2.1392,1.71479,0.51258,0.4645,0.46884,0.23856,1.74439,1.94183,1.79134,0.0007624,0.0007624,0.0007624
14,7183.69,1.56091,2.08955,1.6956,0.55589,0.48356,0.46386,0.23991,1.71068,1.93382,1.74959,0.0007426,0.0007426,0.0007426
